"Statistic Label","Year","Geographic Location","Component","UNIT","VALUE"
"Exports of Services","2007","Croatia","Business services: Other","Euro Million",""
"Exports of Services","2007","Croatia","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Croatia","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Croatia","Repairs and processing","Euro Million",""
"Exports of Services","2007","Hungary","Services total","Euro Million",""
"Exports of Services","2007","Hungary","Transport","Euro Million",""
"Exports of Services","2007","Hungary","Tourism and travel","Euro Million",""
"Exports of Services","2007","Hungary","Communications","Euro Million",""
"Exports of Services","2007","Hungary","Insurance","Euro Million",""
"Exports of Services","2007","Hungary","Financial services","Euro Million",""
"Exports of Services","2007","Hungary","Computer services","Euro Million",""
"Exports of Services","2007","Hungary","Royalties/licences","Euro Million",""
"Exports of Services","2007","Hungary","All business services","Euro Million",""
"Exports of Services","2007","Hungary","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Hungary","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Hungary","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Hungary","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Hungary","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Hungary","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Hungary","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Hungary","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Hungary","Business services: Other","Euro Million",""
"Exports of Services","2007","Hungary","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Hungary","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Hungary","Repairs and processing","Euro Million",""
"Exports of Services","2007","Indonesia","Services total","Euro Million",""
"Exports of Services","2007","Indonesia","Transport","Euro Million",""
"Exports of Services","2007","Indonesia","Tourism and travel","Euro Million",""
"Exports of Services","2007","Indonesia","Communications","Euro Million",""
"Exports of Services","2007","Indonesia","Insurance","Euro Million",""
"Exports of Services","2007","Indonesia","Financial services","Euro Million",""
"Exports of Services","2007","Indonesia","Computer services","Euro Million",""
"Exports of Services","2007","Indonesia","Royalties/licences","Euro Million",""
"Exports of Services","2007","Indonesia","All business services","Euro Million",""
"Exports of Services","2007","Indonesia","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Indonesia","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Indonesia","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Indonesia","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Indonesia","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Indonesia","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Indonesia","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Indonesia","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Indonesia","Business services: Other","Euro Million",""
"Exports of Services","2007","Indonesia","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Indonesia","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Indonesia","Repairs and processing","Euro Million",""
"Exports of Services","2007","Israel","Services total","Euro Million",""
"Exports of Services","2007","Israel","Transport","Euro Million",""
"Exports of Services","2007","Israel","Tourism and travel","Euro Million",""
"Exports of Services","2007","Israel","Communications","Euro Million",""
"Exports of Services","2007","Israel","Insurance","Euro Million",""
"Exports of Services","2007","Israel","Financial services","Euro Million",""
"Exports of Services","2007","Israel","Computer services","Euro Million",""
"Exports of Services","2007","Israel","Royalties/licences","Euro Million",""
"Exports of Services","2007","Israel","All business services","Euro Million",""
"Exports of Services","2007","Israel","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Israel","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Israel","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Israel","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Israel","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Israel","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Israel","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Israel","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Israel","Business services: Other","Euro Million",""
"Exports of Services","2007","Israel","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Israel","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Israel","Repairs and processing","Euro Million",""
"Exports of Services","2007","India","Services total","Euro Million",""
"Exports of Services","2007","India","Transport","Euro Million",""
"Exports of Services","2007","India","Tourism and travel","Euro Million",""
"Exports of Services","2007","India","Communications","Euro Million",""
"Exports of Services","2007","India","Insurance","Euro Million",""
"Exports of Services","2007","India","Financial services","Euro Million",""
"Exports of Services","2007","India","Computer services","Euro Million",""
"Exports of Services","2007","India","Royalties/licences","Euro Million",""
"Exports of Services","2007","India","All business services","Euro Million",""
"Exports of Services","2007","India","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","India","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","India","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","India","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","India","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","India","Business services: Research and development","Euro Million",""
"Exports of Services","2007","India","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","India","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","India","Business services: Other","Euro Million",""
"Exports of Services","2007","India","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","India","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","India","Repairs and processing","Euro Million",""
"Exports of Services","2007","Iceland","Services total","Euro Million",""
"Exports of Services","2007","Iceland","Transport","Euro Million",""
"Exports of Services","2007","Iceland","Tourism and travel","Euro Million",""
"Exports of Services","2007","Iceland","Communications","Euro Million",""
"Exports of Services","2007","Iceland","Insurance","Euro Million",""
"Exports of Services","2007","Iceland","Financial services","Euro Million",""
"Exports of Services","2007","Iceland","Computer services","Euro Million",""
"Exports of Services","2007","Iceland","Royalties/licences","Euro Million",""
"Exports of Services","2007","Iceland","All business services","Euro Million",""
"Exports of Services","2007","Iceland","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Iceland","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Iceland","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Iceland","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Iceland","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Iceland","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Iceland","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Iceland","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Iceland","Business services: Other","Euro Million",""
"Exports of Services","2007","Iceland","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Iceland","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Iceland","Repairs and processing","Euro Million",""
"Exports of Services","2007","Italy","Services total","Euro Million","4430"
"Exports of Services","2007","Italy","Transport","Euro Million","156"
"Exports of Services","2007","Italy","Tourism and travel","Euro Million","160"
"Exports of Services","2007","Italy","Communications","Euro Million",""
"Exports of Services","2007","Italy","Insurance","Euro Million","1773"
"Exports of Services","2007","Italy","Financial services","Euro Million","495"
"Exports of Services","2007","Italy","Computer services","Euro Million","1137"
"Exports of Services","2007","Italy","Royalties/licences","Euro Million",""
"Exports of Services","2007","Italy","All business services","Euro Million","701"
"Exports of Services","2007","Italy","Business services: Merchanting","Euro Million","383"
"Exports of Services","2007","Italy","Business services: Other Trade related services","Euro Million","0"
"Exports of Services","2007","Italy","Business services: Operational leasing","Euro Million","263"
"Exports of Services","2007","Italy","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2007","Italy","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Italy","Business services: Research and development","Euro Million","0"
"Exports of Services","2007","Italy","Business services: Architectural engineering and other technical services","Euro Million","6"
"Exports of Services","2007","Italy","Business services: Management services between affiliates","Euro Million","9"
"Exports of Services","2007","Italy","Business services: Other","Euro Million",""
"Exports of Services","2007","Italy","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Italy","Other services not elsewhere stated","Euro Million","0"
"Exports of Services","2007","Italy","Repairs and processing","Euro Million",""
"Exports of Services","2007","Japan","Services total","Euro Million","897"
"Exports of Services","2007","Japan","Transport","Euro Million","4"
"Exports of Services","2007","Japan","Tourism and travel","Euro Million","34"
"Exports of Services","2007","Japan","Communications","Euro Million","0"
"Exports of Services","2007","Japan","Insurance","Euro Million","24"
"Exports of Services","2007","Japan","Financial services","Euro Million","221"
"Exports of Services","2007","Japan","Computer services","Euro Million",""
"Exports of Services","2007","Japan","Royalties/licences","Euro Million",""
"Exports of Services","2007","Japan","All business services","Euro Million","134"
"Exports of Services","2007","Japan","Business services: Merchanting","Euro Million","80"
"Exports of Services","2007","Japan","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Japan","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Japan","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2007","Japan","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2007","Japan","Business services: Research and development","Euro Million","0"
"Exports of Services","2007","Japan","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Japan","Business services: Management services between affiliates","Euro Million","0"
"Exports of Services","2007","Japan","Business services: Other","Euro Million",""
"Exports of Services","2007","Japan","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Japan","Other services not elsewhere stated","Euro Million","24"
"Exports of Services","2007","Japan","Repairs and processing","Euro Million",""
"Exports of Services","2007","Republic of Korea","Services total","Euro Million","605"
"Exports of Services","2007","Republic of Korea","Transport","Euro Million","0"
"Exports of Services","2007","Republic of Korea","Tourism and travel","Euro Million","0"
"Exports of Services","2007","Republic of Korea","Communications","Euro Million","0"
"Exports of Services","2007","Republic of Korea","Insurance","Euro Million","5"
"Exports of Services","2007","Republic of Korea","Financial services","Euro Million","23"
"Exports of Services","2007","Republic of Korea","Computer services","Euro Million",""
"Exports of Services","2007","Republic of Korea","Royalties/licences","Euro Million",""
"Exports of Services","2007","Republic of Korea","All business services","Euro Million","555"
"Exports of Services","2007","Republic of Korea","Business services: Merchanting","Euro Million","25"
"Exports of Services","2007","Republic of Korea","Business services: Other Trade related services","Euro Million","0"
"Exports of Services","2007","Republic of Korea","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Republic of Korea","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2007","Republic of Korea","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2007","Republic of Korea","Business services: Research and development","Euro Million","0"
"Exports of Services","2007","Republic of Korea","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Republic of Korea","Business services: Management services between affiliates","Euro Million","0"
"Exports of Services","2007","Republic of Korea","Business services: Other","Euro Million",""
"Exports of Services","2007","Republic of Korea","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Republic of Korea","Other services not elsewhere stated","Euro Million","0"
"Exports of Services","2007","Republic of Korea","Repairs and processing","Euro Million",""
"Exports of Services","2007","Lithuania","Services total","Euro Million",""
"Exports of Services","2007","Lithuania","Transport","Euro Million",""
"Exports of Services","2007","Lithuania","Tourism and travel","Euro Million",""
"Exports of Services","2007","Lithuania","Communications","Euro Million",""
"Exports of Services","2007","Lithuania","Insurance","Euro Million",""
"Exports of Services","2007","Lithuania","Financial services","Euro Million",""
"Exports of Services","2007","Lithuania","Computer services","Euro Million",""
"Exports of Services","2007","Lithuania","Royalties/licences","Euro Million",""
"Exports of Services","2007","Lithuania","All business services","Euro Million",""
"Exports of Services","2007","Lithuania","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Lithuania","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Lithuania","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Lithuania","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Lithuania","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Lithuania","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Lithuania","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Lithuania","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Lithuania","Business services: Other","Euro Million",""
"Exports of Services","2007","Lithuania","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Lithuania","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Lithuania","Repairs and processing","Euro Million",""
"Exports of Services","2007","Luxembourg","Services total","Euro Million","881"
"Exports of Services","2007","Luxembourg","Transport","Euro Million","0"
"Exports of Services","2007","Luxembourg","Tourism and travel","Euro Million","4"
"Exports of Services","2007","Luxembourg","Communications","Euro Million","0"
"Exports of Services","2007","Luxembourg","Insurance","Euro Million",""
"Exports of Services","2007","Luxembourg","Financial services","Euro Million","685"
"Exports of Services","2007","Luxembourg","Computer services","Euro Million","29"
"Exports of Services","2007","Luxembourg","Royalties/licences","Euro Million",""
"Exports of Services","2007","Luxembourg","All business services","Euro Million","78"
"Exports of Services","2007","Luxembourg","Business services: Merchanting","Euro Million","0"
"Exports of Services","2007","Luxembourg","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Luxembourg","Business services: Operational leasing","Euro Million","12"
"Exports of Services","2007","Luxembourg","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Luxembourg","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2007","Luxembourg","Business services: Research and development","Euro Million","0"
"Exports of Services","2007","Luxembourg","Business services: Architectural engineering and other technical services","Euro Million","0"
"Exports of Services","2007","Luxembourg","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Luxembourg","Business services: Other","Euro Million","23"
"Exports of Services","2007","Luxembourg","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Luxembourg","Other services not elsewhere stated","Euro Million","0"
"Exports of Services","2007","Luxembourg","Repairs and processing","Euro Million",""
"Exports of Services","2007","Latvia","Services total","Euro Million",""
"Exports of Services","2007","Latvia","Transport","Euro Million",""
"Exports of Services","2007","Latvia","Tourism and travel","Euro Million",""
"Exports of Services","2007","Latvia","Communications","Euro Million",""
"Exports of Services","2007","Latvia","Insurance","Euro Million",""
"Exports of Services","2007","Latvia","Financial services","Euro Million",""
"Exports of Services","2007","Latvia","Computer services","Euro Million",""
"Exports of Services","2007","Latvia","Royalties/licences","Euro Million",""
"Exports of Services","2007","Latvia","All business services","Euro Million",""
"Exports of Services","2007","Latvia","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Latvia","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Latvia","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Latvia","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Latvia","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Latvia","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Latvia","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Latvia","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Latvia","Business services: Other","Euro Million",""
"Exports of Services","2007","Latvia","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Latvia","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Latvia","Repairs and processing","Euro Million",""
"Exports of Services","2007","Morocco","Services total","Euro Million",""
"Exports of Services","2007","Morocco","Transport","Euro Million",""
"Exports of Services","2007","Morocco","Tourism and travel","Euro Million",""
"Exports of Services","2007","Morocco","Communications","Euro Million",""
"Exports of Services","2007","Morocco","Insurance","Euro Million",""
"Exports of Services","2007","Morocco","Financial services","Euro Million",""
"Exports of Services","2007","Morocco","Computer services","Euro Million",""
"Exports of Services","2007","Morocco","Royalties/licences","Euro Million",""
"Exports of Services","2007","Morocco","All business services","Euro Million",""
"Exports of Services","2007","Morocco","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Morocco","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Morocco","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Morocco","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Morocco","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Morocco","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Morocco","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Morocco","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Morocco","Business services: Other","Euro Million",""
"Exports of Services","2007","Morocco","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Morocco","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Morocco","Repairs and processing","Euro Million",""
"Exports of Services","2007","Malta","Services total","Euro Million",""
"Exports of Services","2007","Malta","Transport","Euro Million",""
"Exports of Services","2007","Malta","Tourism and travel","Euro Million",""
"Exports of Services","2007","Malta","Communications","Euro Million",""
"Exports of Services","2007","Malta","Insurance","Euro Million",""
"Exports of Services","2007","Malta","Financial services","Euro Million",""
"Exports of Services","2007","Malta","Computer services","Euro Million",""
"Exports of Services","2007","Malta","Royalties/licences","Euro Million",""
"Exports of Services","2007","Malta","All business services","Euro Million",""
"Exports of Services","2007","Malta","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Malta","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Malta","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Malta","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Malta","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Malta","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Malta","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Malta","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Malta","Business services: Other","Euro Million",""
"Exports of Services","2007","Malta","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Malta","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Malta","Repairs and processing","Euro Million",""
"Exports of Services","2007","Mexico","Services total","Euro Million",""
"Exports of Services","2007","Mexico","Transport","Euro Million",""
"Exports of Services","2007","Mexico","Tourism and travel","Euro Million",""
"Exports of Services","2007","Mexico","Communications","Euro Million",""
"Exports of Services","2007","Mexico","Insurance","Euro Million",""
"Exports of Services","2007","Mexico","Financial services","Euro Million",""
"Exports of Services","2007","Mexico","Computer services","Euro Million",""
"Exports of Services","2007","Mexico","Royalties/licences","Euro Million",""
"Exports of Services","2007","Mexico","All business services","Euro Million",""
"Exports of Services","2007","Mexico","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Mexico","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Mexico","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Mexico","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Mexico","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Mexico","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Mexico","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Mexico","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Mexico","Business services: Other","Euro Million",""
"Exports of Services","2007","Mexico","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Mexico","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Mexico","Repairs and processing","Euro Million",""
"Exports of Services","2007","Malaysia","Services total","Euro Million",""
"Exports of Services","2007","Malaysia","Transport","Euro Million",""
"Exports of Services","2007","Malaysia","Tourism and travel","Euro Million",""
"Exports of Services","2007","Malaysia","Communications","Euro Million",""
"Exports of Services","2007","Malaysia","Insurance","Euro Million",""
"Exports of Services","2007","Malaysia","Financial services","Euro Million",""
"Exports of Services","2007","Malaysia","Computer services","Euro Million",""
"Exports of Services","2007","Malaysia","Royalties/licences","Euro Million",""
"Exports of Services","2007","Malaysia","All business services","Euro Million",""
"Exports of Services","2007","Malaysia","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Malaysia","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Malaysia","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Malaysia","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Malaysia","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Malaysia","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Malaysia","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Malaysia","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Malaysia","Business services: Other","Euro Million",""
"Exports of Services","2007","Malaysia","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Malaysia","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Malaysia","Repairs and processing","Euro Million",""
"Exports of Services","2007","Nigeria","Services total","Euro Million",""
"Exports of Services","2007","Nigeria","Transport","Euro Million",""
"Exports of Services","2007","Nigeria","Tourism and travel","Euro Million",""
"Exports of Services","2007","Nigeria","Communications","Euro Million",""
"Exports of Services","2007","Nigeria","Insurance","Euro Million",""
"Exports of Services","2007","Nigeria","Financial services","Euro Million",""
"Exports of Services","2007","Nigeria","Computer services","Euro Million",""
"Exports of Services","2007","Nigeria","Royalties/licences","Euro Million",""
"Exports of Services","2007","Nigeria","All business services","Euro Million",""
"Exports of Services","2007","Nigeria","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Nigeria","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Nigeria","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Nigeria","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Nigeria","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Nigeria","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Nigeria","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Nigeria","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Nigeria","Business services: Other","Euro Million",""
"Exports of Services","2007","Nigeria","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Nigeria","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Nigeria","Repairs and processing","Euro Million",""
"Exports of Services","2007","Netherlands","Services total","Euro Million","2674"
"Exports of Services","2007","Netherlands","Transport","Euro Million","8"
"Exports of Services","2007","Netherlands","Tourism and travel","Euro Million","91"
"Exports of Services","2007","Netherlands","Communications","Euro Million","10"
"Exports of Services","2007","Netherlands","Insurance","Euro Million","185"
"Exports of Services","2007","Netherlands","Financial services","Euro Million","259"
"Exports of Services","2007","Netherlands","Computer services","Euro Million","1155"
"Exports of Services","2007","Netherlands","Royalties/licences","Euro Million","12"
"Exports of Services","2007","Netherlands","All business services","Euro Million","952"
"Exports of Services","2007","Netherlands","Business services: Merchanting","Euro Million","439"
"Exports of Services","2007","Netherlands","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Netherlands","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Netherlands","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2007","Netherlands","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Netherlands","Business services: Research and development","Euro Million","0"
"Exports of Services","2007","Netherlands","Business services: Architectural engineering and other technical services","Euro Million","14"
"Exports of Services","2007","Netherlands","Business services: Management services between affiliates","Euro Million","9"
"Exports of Services","2007","Netherlands","Business services: Other","Euro Million",""
"Exports of Services","2007","Netherlands","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Netherlands","Other services not elsewhere stated","Euro Million","0"
"Exports of Services","2007","Netherlands","Repairs and processing","Euro Million",""
"Exports of Services","2007","Norway","Services total","Euro Million",""
"Exports of Services","2007","Norway","Transport","Euro Million",""
"Exports of Services","2007","Norway","Tourism and travel","Euro Million",""
"Exports of Services","2007","Norway","Communications","Euro Million",""
"Exports of Services","2007","Norway","Insurance","Euro Million",""
"Exports of Services","2007","Norway","Financial services","Euro Million",""
"Exports of Services","2007","Norway","Computer services","Euro Million",""
"Exports of Services","2007","Norway","Royalties/licences","Euro Million",""
"Exports of Services","2007","Norway","All business services","Euro Million",""
"Exports of Services","2007","Norway","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Norway","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Norway","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Norway","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Norway","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Norway","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Norway","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Norway","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Norway","Business services: Other","Euro Million",""
"Exports of Services","2007","Norway","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Norway","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Norway","Repairs and processing","Euro Million",""
"Exports of Services","2007","New Zealand","Services total","Euro Million",""
"Exports of Services","2007","New Zealand","Transport","Euro Million",""
"Exports of Services","2007","New Zealand","Tourism and travel","Euro Million",""
"Exports of Services","2007","New Zealand","Communications","Euro Million",""
"Exports of Services","2007","New Zealand","Insurance","Euro Million",""
"Exports of Services","2007","New Zealand","Financial services","Euro Million",""
"Exports of Services","2007","New Zealand","Computer services","Euro Million",""
"Exports of Services","2007","New Zealand","Royalties/licences","Euro Million",""
"Exports of Services","2007","New Zealand","All business services","Euro Million",""
"Exports of Services","2007","New Zealand","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","New Zealand","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","New Zealand","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","New Zealand","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","New Zealand","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","New Zealand","Business services: Research and development","Euro Million",""
"Exports of Services","2007","New Zealand","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","New Zealand","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","New Zealand","Business services: Other","Euro Million",""
"Exports of Services","2007","New Zealand","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","New Zealand","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","New Zealand","Repairs and processing","Euro Million",""
"Exports of Services","2007","Philippines","Services total","Euro Million",""
"Exports of Services","2007","Philippines","Transport","Euro Million",""
"Exports of Services","2007","Philippines","Tourism and travel","Euro Million",""
"Exports of Services","2007","Philippines","Communications","Euro Million",""
"Exports of Services","2007","Philippines","Insurance","Euro Million",""
"Exports of Services","2007","Philippines","Financial services","Euro Million",""
"Exports of Services","2007","Philippines","Computer services","Euro Million",""
"Exports of Services","2007","Philippines","Royalties/licences","Euro Million",""
"Exports of Services","2007","Philippines","All business services","Euro Million",""
"Exports of Services","2007","Philippines","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Philippines","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Philippines","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Philippines","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Philippines","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Philippines","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Philippines","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Philippines","Business services: Management services between affiliates","Euro Million",""
